epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,255.551,1.19176,0.84861,1.19894,0.72912,0.68564,0.75185,0.52998,1.25699,0.60801,1.32744,2.30268e-05,2.30268e-05,2.30268e-05
40,261.944,1.19266,0.84132,1.20569,0.73071,0.66918,0.76084,0.54088,1.24894,0.59981,1.32638,2.11854e-05,2.11854e-05,2.11854e-05
41,268.79,1.18948,0.78819,1.27983,0.66657,0.66958,0.74051,0.5208,1.24495,0.62036,1.3215,1.9344e-05,1.9344e-05,1.9344e-05
42,275.065,1.17252,0.74679,1.26884,0.69625,0.69262,0.74608,0.52376,1.2587,0.61494,1.3264,1.75026e-05,1.75026e-05,1.75026e-05
43,281.27,1.1667,0.74043,1.26137,0.70963,0.69566,0.76383,0.54162,1.24821,0.60677,1.321,1.56612e-05,1.56612e-05,1.56612e-05
44,287.628,1.16418,0.73064,1.26178,0.76563,0.6694,0.77149,0.5481,1.25035,0.60217,1.32351,1.38198e-05,1.38198e-05,1.38198e-05
45,294,1.16453,0.73289,1.25328,0.69794,0.73193,0.78125,0.55496,1.25214,0.60182,1.327,1.19784e-05,1.19784e-05,1.19784e-05
46,300.318,1.16038,0.7229,1.25914,0.72441,0.72003,0.79175,0.56452,1.24745,0.59748,1.32405,1.0137e-05,1.0137e-05,1.0137e-05
47,306.666,1.15994,0.72174,1.25874,0.72612,0.69953,0.79064,0.55967,1.2537,0.5974,1.3231,8.2956e-06,8.2956e-06,8.2956e-06
48,312.906,1.15736,0.71783,1.24951,0.71443,0.71747,0.78446,0.55749,1.25325,0.59764,1.32318,6.4542e-06,6.4542e-06,6.4542e-06
49,319.22,1.15319,0.7183,1.25344,0.73077,0.72205,0.79558,0.56467,1.25404,0.59601,1.32303,4.6128e-06,4.6128e-06,4.6128e-06
50,325.561,1.15157,0.71628,1.24762,0.72391,0.72819,0.79674,0.56685,1.25296,0.59543,1.32311,2.7714e-06,2.7714e-06,2.7714e-06
